,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5
29,1401,0.0001745531189953,7.003631617408246e-05,9.906279592541978e-05,5.4540118981094565e-06,0.0,23,0.0,0.0001429580734111,6.660189683316275e-05,7.024532533250749e-05,6.110840331530199e-06,0.0,29,0.1428571428571428,9.430158388568088e-05,2.9090077077853493e-05,5.9149089793208987e-05,6.062414286134299e-06,0.0,37,0.0,0.0001705990434857,4.419323158799671e-05,0.0001220128251588,4.392994014779106e-06,0.0,23,0.2857142857142857,0.0003176501195412,0.0001044962118612,0.0002086454042,4.5085007513989694e-06,0.0,22,0.4285714285714285,0.00023098400561138988,0.00011924524005735293,0.00010831757390405983,3.4211852835142054e-06,0.0,24,0.14285714285714285
30,1451,0.0001434309670003,5.521460116142407e-05,8.23431764729321e-05,5.873189820704283e-06,0.0,21,0.2857142857142857,0.0001002784774755,4.2196170397801325e-05,5.108737241243944e-05,6.994940576987574e-06,0.0,26,0.1428571428571428,7.29013845557347e-05,2.0626152036129497e-05,4.573527257889509e-05,6.539960395457456e-06,0.0,36,0.0,0.0001441623753635,3.37090423272457e-05,0.0001057795889209,4.673736384575022e-06,0.0,21,0.2857142857142857,0.0002751953725237,8.366999827558175e-05,0.0001864813093561,5.044062163506169e-06,0.0,22,0.4285714285714285,0.0002087471802951768,0.00010703238513087854,9.798826067708433e-05,3.7265315313561587e-06,0.0,22,0.2857142857142857
31,1501,0.000127688574139,4.88792902615387e-05,7.253862713696435e-05,6.270649919315474e-06,0.0,21,0.4285714285714285,7.240269769681618e-05,2.858598600141704e-05,3.619980634539388e-05,7.616900802531745e-06,0.0,26,0.1428571428571428,6.122465856606141e-05,1.7197673514601775e-05,3.706911229528487e-05,6.957877303648274e-06,0.0,36,0.0,0.000122491212096,2.697057789191604e-05,9.071339445654304e-05,4.80723565488006e-06,0.0,21,0.2857142857142857,0.0002440751559333,7.072123844409361e-05,0.0001677947584539,5.5591635828022845e-06,0.0,22,0.4285714285714285,0.0001974425686057657,9.875502291833982e-05,9.479117579758167e-05,3.8963639781286474e-06,0.0,21,0.2857142857142857
32,1551,0.0001153137854998,4.207882011542097e-05,6.651451985817403e-05,6.720445071550785e-06,0.0,21,0.4285714285714285,5.4839514632476494e-05,1.820401666918769e-05,2.850473538273945e-05,8.130761671054643e-06,0.0,26,0.1428571428571428,5.104848969494924e-05,1.4430030205403456e-05,2.9302605980774388e-05,7.315853054024046e-06,0.0,35,0.0,0.0001079191715689,2.3009672077023424e-05,8.000113302841783e-05,4.90837192046456e-06,0.0,20,0.2857142857142857,0.0002105441526509,5.9394191339379176e-05,0.0001451212592655,6.028704319760436e-06,0.0,21,0.4285714285714285,0.00019070265989284962,9.006035543279722e-05,9.663255332270637e-05,4.009753865830135e-06,0.0,21,0.2857142857142857
33,1601,0.0001054394742823,3.92447218473535e-05,5.89489791309461e-05,7.245768756547477e-06,0.0,21,0.4285714285714285,4.735324182547629e-05,1.360882743028924e-05,2.5199042283929884e-05,8.545370292267762e-06,0.0,25,0.1428571428571428,4.5614193368237466e-05,1.2836752830480693e-05,2.5161411031149328e-05,7.616028597112745e-06,0.0,35,0.0,9.942286123987289e-05,2.220325950474944e-05,7.222979184007272e-05,4.989811714040116e-06,0.0,20,0.2857142857142857,0.000179351773113,4.769481529365294e-05,0.0001252457150258,6.4112427935469896e-06,0.0,21,0.4285714285714285,0.00018789732712320983,8.283594070235267e-05,0.00010095015750266612,4.111240286874818e-06,0.0,20,0.2857142857142857
34,1651,9.103237243834884e-05,3.3667132811388e-05,4.952600647811778e-05,7.839231329853646e-06,0.0,20,0.4285714285714285,4.199529939796776e-05,9.842611689236946e-06,2.327592119399924e-05,8.876766514731571e-06,0.0,25,0.1428571428571428,4.393363633425906e-05,1.365675689157797e-05,2.2381722374120727e-05,7.89515434007626e-06,0.0,35,0.0,8.720834739506245e-05,2.1356057914090343e-05,6.0768055845983326e-05,5.084232725494076e-06,0.0,20,0.2857142857142857,0.0001526273117633,3.907143764081411e-05,0.0001068484125426,6.707462489430327e-06,0.0,21,0.4285714285714285,0.0001760180457495153,7.579463999718428e-05,9.604058868717402e-05,4.182823431619909e-06,0.0,20,0.2857142857142857
35,1701,8.636098209535703e-05,3.5709599615074694e-05,4.219207767164335e-05,8.459307537123095e-06,0.0,20,0.4285714285714285,3.781776467803866e-05,7.880745215516072e-06,2.0792766008526087e-05,9.144251635007096e-06,0.0,25,0.1428571428571428,3.991215271526016e-05,1.179929677164182e-05,1.9963998056482524e-05,8.148856977641117e-06,0.0,35,0.0,7.83699651947245e-05,2.012705226661637e-05,5.303796569933184e-05,5.204942226555431e-06,0.0,19,0.2857142857142857,0.0001299940049648,3.476753045106307e-05,8.829736179905012e-05,6.92910634825239e-06,0.0,21,0.4285714285714285,0.00016111577861011028,7.183897832874209e-05,8.504522702423856e-05,4.23157371187699e-06,0.0,20,0.2857142857142857
36,1751,6.924041372258216e-05,2.408277032373008e-05,3.612792352214456e-05,9.029718057718128e-06,0.0,20,0.4285714285714285,3.428250420256518e-05,6.019583906891057e-06,1.88999892998254e-05,9.36293236009078e-06,0.0,25,0.1428571428571428,3.6779780202778056e-05,1.0502449185878504e-05,1.789915950212162e-05,8.378171514777932e-06,0.0,35,0.0,7.310074579436332e-05,1.923788840940688e-05,4.854218059335835e-05,5.320677701092791e-06,0.0,19,0.2857142857142857,0.0001128542426158,3.3309970604022965e-05,7.239238766487688e-05,7.15188252797816e-06,0.0,21,0.4285714285714285,0.0001497061748523265,6.77272691973485e-05,7.771430682623759e-05,4.264597919245716e-06,0.0,20,0.2857142857142857
37,1801,6.463401950895786e-05,1.9739893104997464e-05,3.546811785781756e-05,9.42601400311105e-06,0.0,18,0.4285714285714285,3.172069045831449e-05,5.236934157437645e-06,1.6932617654674686e-05,9.55113773670746e-06,0.0,25,0.1428571428571428,3.4729317121673375e-05,1.0007982382376213e-05,1.613878339412622e-05,8.582554073655047e-06,0.0,35,0.0,6.999704783083871e-05,1.901639734569472e-05,4.556002750177868e-05,5.420625711849425e-06,0.0,19,0.2857142857142857,0.0001032623986247,3.376423046574928e-05,6.21671715634875e-05,7.3309965955559164e-06,0.0,20,0.4285714285714285,0.00014249017112888396,6.372373172780499e-05,7.447437383234501e-05,4.292052381060785e-06,0.0,20,0.2857142857142857
38,1851,5.8854566304944456e-05,1.796967990230769e-05,3.115998333669268e-05,9.72490306594409e-06,0.0,18,0.4285714285714285,2.967912951135077e-05,4.546797299553873e-06,1.540664743515663e-05,9.725685231387615e-06,0.0,25,0.1428571428571428,3.2373420253861696e-05,8.929632713261526e-06,1.4683215340483002e-05,8.76057401910657e-06,0.0,35,0.0,6.841441063443199e-05,1.9279670596006326e-05,4.361258470453322e-05,5.522154879145091e-06,0.0,18,0.2857142857142857,9.789059549802914e-05,3.43280189554207e-05,5.605562182608992e-05,7.506956080760574e-06,0.0,20,0.4285714285714285,0.00013881655468139797,6.105010106693953e-05,7.345351332332939e-05,4.312933469918789e-06,0.0,20,0.2857142857142857
