,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1
25,1250,0.00019464192155282944,3.425217073527165e-05,0.00013148771540727466,1.4257969269237947e-05,2.8902037229272537e-05,32,0.00034810241777449846,6.835979729657993e-05,0.00025611562887206674,1.3089465937810019e-05,2.3626989786862396e-05,31
26,1300,0.00018463953165337443,3.177650069119409e-05,0.00012557202717289329,1.4586434190277942e-05,2.7290994694340043e-05,31,0.00037680123932659626,0.00010433556599309668,0.00025002722395583987,1.3450176084006671e-05,2.2438456653617322e-05,31
27,1350,0.00016802165191620588,2.36164760281099e-05,0.00011868056753883138,1.4865646335238125e-05,2.57246083492646e-05,30,0.0003343560383655131,6.92374087520875e-05,0.0002438484807498753,1.3803566616843455e-05,2.127013067365624e-05,31
28,1400,0.00016117459745146334,2.4729359211050905e-05,0.0001122763569583185,1.5123884622880723e-05,2.416887400613632e-05,29,0.00033119480940513313,7.310025830520317e-05,0.00023792068532202393,1.4147875845083036e-05,2.0173862139927223e-05,31
29,1450,0.00016210650210268795,3.196261604898609e-05,0.00010728298366302624,1.5357223674072884e-05,2.286090239067562e-05,29,0.0003242530510760844,7.294577517313883e-05,0.00023215080727823079,1.4480084246315528e-05,1.9156484995619394e-05,31
30,1500,0.00014621767331846058,2.260681321786251e-05,0.0001020887793856673,1.5569525203318335e-05,2.1522077076951973e-05,29,0.00032967550214380026,8.486361184623092e-05,0.00022652611369267106,1.4802923033130355e-05,1.8285778423887677e-05,31
31,1550,0.00013729480269830674,2.0187868358334526e-05,9.68535096035339e-05,1.5761132090119645e-05,2.025342473643832e-05,29,0.00031028632656671107,7.179004023782909e-05,0.0002210910024587065,1.5111172615434043e-05,1.740528387017548e-05,31
32,1600,0.0001468314731027931,3.5512883187038824e-05,9.230234718415886e-05,1.593909109942615e-05,1.90162372746272e-05,29,0.0002948682231362909,6.239715003175661e-05,0.00021582147746812552,1.5403378711198457e-05,1.6649595636408776e-05,31
33,1650,0.00014301281771622598,3.5868761187884957e-05,8.920263644540682e-05,1.6099967979243957e-05,1.7941416444955394e-05,29,0.00031531156855635345,8.808218990452588e-05,0.00021129178639966995,1.5680603610235266e-05,1.5937595890136436e-05,31
34,1700,0.00012868986232206225,2.7272801162325777e-05,8.458866795990616e-05,1.6240706827375107e-05,1.682840047578793e-05,29,0.00029069403535686433,6.894736725371331e-05,0.0002064086584141478,1.5945624909363687e-05,1.5338002413045615e-05,31
35,1750,0.00012188071559648961,2.489503094693646e-05,8.109276677714661e-05,1.6364054317818955e-05,1.589291605341714e-05,29,0.0002899960963986814,7.334417023230344e-05,0.00020189220958855003,1.6194979252759367e-05,1.4759712939849123e-05,31
36,1800,0.00010927875700872391,1.7369382476317696e-05,7.697885303059593e-05,1.646794225962367e-05,1.4930523320799693e-05,29,0.0002730033011175692,6.109345122240484e-05,0.0001977320935111493,1.643362884351518e-05,1.4177765478962101e-05,31
37,1850,0.00010460708290338516,1.728676761558745e-05,7.329055370064452e-05,1.6569061699556187e-05,1.4029761587153189e-05,29,0.00026572635397315025,5.855628114659339e-05,0.00019345877808518708,1.6656309526297264e-05,1.3711299288843293e-05,31
38,1900,0.00010009797551902011,1.6962969311862253e-05,6.99195807101205e-05,1.667676042416133e-05,1.3215424587542657e-05,29,0.00027032644720748067,6.724564445903525e-05,0.000189836006029509,1.686381256149616e-05,1.3244793080957606e-05,31
39,1950,9.70411638263613e-05,1.7916958313435316e-05,6.644580571446568e-05,1.6815443814266473e-05,1.2678398888965603e-05,28,0.00026093621272593737,6.174197187647223e-05,0.00018638042092788965,1.7052650946425274e-05,1.2813828107027803e-05,31
40,2000,9.444434545002878e-05,1.878991133708041e-05,6.362758722389117e-05,1.6964073438430205e-05,1.2026845070067793e-05,28,0.00027126679196953773,7.409622048726305e-05,0.0001846213563112542,1.722253546176944e-05,1.2549225175462198e-05,30
41,2050,0.00012209240230731666,5.04639683640562e-05,6.02842919761315e-05,1.7096635929192416e-05,1.1344143786118366e-05,28,0.0002707091043703258,7.780453597661108e-05,0.00018075872503686696,1.7386611943948083e-05,1.214585245179478e-05,30
42,2100,8.392534800805151e-05,1.5233072190312669e-05,5.798830898129381e-05,1.7215726984431967e-05,1.0703963198466226e-05,28,0.00023836182663217187,4.9268124712398276e-05,0.00017730696708895266,1.7550648408359848e-05,1.1786730283347424e-05,30
43,2150,8.111158240353689e-05,1.562981924507767e-05,5.536041862796992e-05,1.7327882233075798e-05,1.01213463494787e-05,28,0.0002356139593757689,5.000049350201152e-05,0.00017414863395970315,1.7710597603581846e-05,1.1464836461527739e-05,30
44,2200,7.691818609600887e-05,1.462855016143294e-05,5.2739000238943845e-05,1.7441281670471653e-05,9.550633876642678e-06,28,0.00023184648307505995,4.966217602486722e-05,0.00017103124991990626,1.7862252207123674e-05,1.1153059858770575e-05,30
45,2250,7.458878826582804e-05,1.533346585347317e-05,5.0207552703795955e-05,1.755511766532436e-05,9.047768799064215e-06,28,0.0002274365397170186,4.842896305490285e-05,0.00016815448179841042,1.8008295228355564e-05,1.0853092135221232e-05,30
46,2300,7.936421752674505e-05,2.2680700567434542e-05,4.813121631741524e-05,1.76693811226869e-05,8.552300641895272e-06,28,0.00023096796940080822,5.487279122462496e-05,0.00016553759633097798,1.8151029507862404e-05,1.0557585483184084e-05,30
47,2350,7.054841262288392e-05,1.68772221513791e-05,4.5575739932246506e-05,1.778451223799493e-05,8.095446901279502e-06,28,0.00022604865080211312,5.311942732078023e-05,0.00016264893929474056,1.8292261302121915e-05,1.0280284186592326e-05,30
48,2400,6.737233343301341e-05,1.5886993423919193e-05,4.379586971481331e-05,1.789885754988063e-05,7.689469384786207e-06,28,0.00021745130652561784,4.7404391807504e-05,0.00016000395407900214,1.8425012967782095e-05,1.0042958820122294e-05,30
49,2450,7.506735710194334e-05,2.5674127755337395e-05,4.207598612993024e-05,1.8010394342127256e-05,7.3172423071810044e-06,28,0.00021998003649059683,5.249565583653748e-05,0.00015771703328937292,1.8551583707449026e-05,9.767351002665237e-06,30
50,2500,6.338521052384749e-05,1.5208547665679362e-05,4.108720168005675e-05,1.8161141269956715e-05,7.0894634518481325e-06,26,0.000221265567233786,5.676458386005834e-05,0.0001549621083540842,1.867309219960589e-05,9.538869562675245e-06,30
51,2550,6.526913057314232e-05,1.8957358406623825e-05,3.9540271245641634e-05,1.8279117284691893e-05,6.771499556634808e-06,26,0.00021060078870505095,4.846914453082718e-05,0.0001528178690932691,1.8789682144415565e-05,9.31376689550234e-06,30
52,2600,5.956592212896794e-05,1.5023892956378404e-05,3.80711535399314e-05,1.839461037889123e-05,6.470877451647539e-06,26,0.0001998532679863274,4.044976958539337e-05,0.0001502992381574586,1.8903128875535913e-05,9.10425114852842e-06,30
53,2650,5.647076977766119e-05,1.3505533388524782e-05,3.677250788314268e-05,1.85044264071621e-05,6.192729415488429e-06,26,0.0001943347742781043,3.738183295354247e-05,0.00014806828403379768,1.901321957120672e-05,8.884658200258855e-06,30
54,2700,5.512135976459831e-05,1.3827332622895483e-05,3.5374305298319086e-05,1.8608077880344354e-05,5.919720933889039e-06,26,0.0002099023840855807,5.540353959077038e-05,0.00014583297888748348,1.9115379473078065e-05,8.665866516821552e-06,30
55,2750,5.863254045834765e-05,1.844270809669979e-05,3.450344956945628e-05,1.8708326024352573e-05,5.6863805184548255e-06,26,0.00023188507475424558,7.951730367494747e-05,0.00014390262367669493,1.9215936845284887e-05,8.465150131087285e-06,30
56,2800,5.4471922339871526e-05,1.5703159078839235e-05,3.3311007427982986e-05,1.880445961432997e-05,5.457756287796656e-06,26,0.00018257208284921944,3.271852619946003e-05,0.0001415485457982868,1.9311604773974977e-05,8.305007213493809e-06,30
57,2850,5.015515489503741e-05,1.2619322660611942e-05,3.228225978091359e-05,1.8894912500400096e-05,5.253574727248633e-06,26,0.00021136336727067828,6.371594645315781e-05,0.0001395390572724864,1.9404697013669647e-05,8.108361726044677e-06,30
58,2900,5.103639705339447e-05,1.4594719687011093e-05,3.138896499876864e-05,1.898136906675063e-05,5.052712367614731e-06,26,0.00017737902817316353,3.2072515750769526e-05,0.00013735298125538975,1.949148099811282e-05,7.953524800541345e-06,30
59,2950,4.6212524466682225e-05,1.089951183530502e-05,3.0464692827081308e-05,1.9072826034971513e-05,4.848318440053845e-06,25,0.00018538505537435412,4.222058123559691e-05,0.00013537536142393947,1.9575598344090395e-05,7.789108167344239e-06,30
60,3000,4.555683699436486e-05,1.1266372894169763e-05,2.9604780138470232e-05,1.9160952433594503e-05,4.685684416472213e-06,25,0.00017717163427732885,3.612558066379279e-05,0.0001334198022959754,1.9657523807836697e-05,7.626251317560673e-06,30
61,3050,8.522142161382362e-05,5.1415896450635046e-05,2.9223363526398316e-05,1.925344804476481e-05,4.582163001032313e-06,25,0.0001752512762323022,3.626293982961215e-05,0.0001315396511927247,1.9736318790819496e-05,7.4486843004706316e-06,30
