,epoch,decoder_0,sindy_x_0,reg_0,corr_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,corr_1,sindy_z_1,active_coeffs_1,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
25,1251,0.0005383156822063029,0.0005738312611356378,1.6025465811253525e-05,-3.820076472038636e-06,0.0,28,0.0004106209962628782,0.0003677853965200484,1.929806785483379e-05,-3.883178578689694e-06,0.0,34,0.00047446833923459053,0.00047080832882784307,1.7661766833043657e-05,0.0,31.0
26,1301,0.0005840514204464853,0.0005487961461767554,1.6054649677244015e-05,-3.752516249733162e-06,0.0,27,0.000386115163564682,0.00034406560007482767,1.955111656570807e-05,-3.8861339817231055e-06,0.0,34,0.00048508329200558364,0.00044643087312579155,1.7802883121476043e-05,0.0,30.5
27,1351,0.0005404221592471004,0.0005173705285415053,1.6066329408204183e-05,-3.7308191167539917e-06,0.0,27,0.0003675985790323466,0.0003239694924559444,1.9782082745223306e-05,-3.8919056351005565e-06,0.0,34,0.0004540103691397235,0.0004206700104987249,1.7924206076713745e-05,0.0,30.5
28,1401,0.0005421893438324332,0.0004966050037182868,1.6074753148132004e-05,-3.7215513657429256e-06,0.0,27,0.0003505733620841056,0.000305473426124081,1.999562118726317e-05,-3.896370799338911e-06,0.0,34,0.0004463813529582694,0.0004010392149211839,1.8035187167697586e-05,0.0,30.5
29,1451,0.0005384458345361054,0.0004784351622220129,1.6056654203566723e-05,-3.7035454170109006e-06,0.0,27,0.00033520912984386086,0.0002891128824558109,2.0192001102259383e-05,-3.90164404961979e-06,0.0,34,0.00043682748218998313,0.0003837740223389119,1.8124327652913053e-05,0.0,30.5
30,1501,0.0005346920806914568,0.0004637991660274565,1.6081041394500062e-05,-3.6555275073624216e-06,0.0,26,0.0003312403568997979,0.0002764673554338515,2.037056583503727e-05,-3.908332928403979e-06,0.0,34,0.00043296621879562736,0.000370133260730654,1.8225803614768665e-05,0.0,30.0
31,1551,0.0005334384040907025,0.00046682299580425024,1.6124133253470063e-05,-3.5520736219041282e-06,0.0,25,0.0003113332495559007,0.00026158354012295604,2.0547427993733436e-05,-3.917982212442439e-06,0.0,34,0.0004223858268233016,0.00036420326796360314,1.833578062360175e-05,0.0,29.5
32,1601,0.0005308808176778257,0.00044948147842660546,1.6183083062060177e-05,-3.460459083726164e-06,0.0,25,0.000378530501620844,0.000252086523687467,2.07715347642079e-05,-3.931088485842338e-06,0.0,34,0.00045470565964933485,0.0003507840010570362,1.847730891313404e-05,0.0,29.5
33,1651,0.0006113197305239737,0.0004290064098313451,1.6205836800509132e-05,-3.384604724487872e-06,0.0,24,0.00029466336127370596,0.00024095314438454807,2.0967801901861094e-05,-3.939185717172222e-06,0.0,33,0.00045299154589883983,0.0003349797771079466,1.8586819351185113e-05,0.0,28.5
34,1701,0.0005197210120968521,0.00041300110751762986,1.6190386304515414e-05,-3.326535761516425e-06,0.0,24,0.00028445516363717616,0.0002306274836882949,2.114913149853237e-05,-3.9427332012564875e-06,0.0,33,0.0004020880878670141,0.0003218142956029624,1.8669758901523892e-05,0.0,28.5
