,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
46,2300,0.0003555149887688458,0.00019744125893339515,0.00015454583626706153,3.5279083476780215e-06,0.0,11,0.000686828454490751,0.0004793652333319187,0.00020416030019987375,3.3029575661203125e-06,0.0,13,0.00028882300830446184,0.0001461926003685221,0.0001391328260069713,3.4975957987626316e-06,0.0,14,0.0002810125588439405,0.00015318809892050922,0.00012450560461729765,3.3188694033015054e-06,0.0,13,0.0002440467978885863,0.00015558614177280106,3.4118327789656178e-06,0.0,12.75
47,2350,0.000348150817444548,0.0001967517746379599,0.000147949016536586,3.4500401397963287e-06,0.0,11,0.000692560919560492,0.0004869911936111748,0.00020228998619131744,3.279789098087349e-06,0.0,13,0.00028784017194993794,0.0001475112949265167,0.0001368719240417704,3.4569648050819524e-06,0.0,13,0.0002831591118592769,0.0001557252835482359,0.000124114376376383,3.31943351739028e-06,0.0,13,0.00024674488668097183,0.0001528063257865142,3.3765568900889775e-06,0.0,12.5
48,2400,0.00034450346720404923,0.0001966743147931993,0.0001444379158783704,3.3912365324795246e-06,0.0,11,0.0006976976292207837,0.0004938086494803429,0.0002006345021072775,3.254503326388658e-06,0.0,13,0.0002779812493827194,0.00014080294931773096,0.00013373051478993148,3.4477930057619233e-06,0.0,13,0.0002782514493446797,0.0001513266033725813,0.0001236060488736257,3.318785047667916e-06,0.0,13,0.0002456531292409636,0.00015060224541230127,3.3530794780745055e-06,0.0,12.5
49,2450,0.00033907245961017907,0.00019405070634093136,0.00014168296183925122,3.3387923394911923e-06,0.0,11,0.0007030177512206137,0.0005016514915041625,0.0001981426466954872,3.2236216611636337e-06,0.0,12,0.00027862246497534215,0.00014279120659921318,0.00013239435793366283,3.4368961223663064e-06,0.0,13,0.0002788064593914896,0.00015232140140142292,0.00012316738138906658,3.3176963825098937e-06,0.0,13,0.0002477037014614325,0.00014884683696436696,3.3292516263827565e-06,0.0,12.25
50,2500,0.0003382523718755692,0.00019492756109684706,0.00014003415708430111,3.290660970378667e-06,0.0,11,0.0007177271763794124,0.0005154997925274074,0.00019903712382074445,3.1902536647976376e-06,0.0,11,0.0002786997065413743,0.0001441589993191883,0.00013111594307702035,3.4247552775923396e-06,0.0,13,0.0002793956082314253,0.00015348316810559481,0.00012259696086402982,3.315484946142533e-06,0.0,13,0.0002520173802622594,0.00014819604621152394,3.3052887147277943e-06,0.0,12.0
51,2550,0.0003364349249750376,0.00019478362810332328,0.00013840553583577275,3.2457785437145503e-06,0.0,11,0.000712342094630003,0.0005120451096445322,0.00019715068629011512,3.1462786864722148e-06,0.0,11,0.0002828227588906884,0.0001490687282057479,0.000130343105411157,3.4109143598470837e-06,0.0,13,0.0002792475570458919,0.00015365304716397077,0.00012228199921082705,3.312515218567569e-06,0.0,13,0.00025238762827939354,0.00014704533168696798,3.2788717021503544e-06,0.0,12.0
52,2600,0.0003324234567116946,0.000192489183973521,0.000136729926452972,3.2043587907537585e-06,0.0,11,0.0007100029033608735,0.0005113973747938871,0.00019548955606296659,3.1159984246187378e-06,0.0,11,0.00027602797490544617,0.00014466780703514814,0.00012796398368664086,3.396174861336476e-06,0.0,13,0.0002810009755194187,0.00015569837705697864,0.00012199369666632265,3.308888381070574e-06,0.0,13,0.00025106318571488373,0.00014554429071722552,3.2563551144448866e-06,0.0,12.0
53,2650,0.0003339611575938761,0.0001946094271261245,0.00013618782395496964,3.1639187909604516e-06,0.0,11,0.000706119928508997,0.0005090869963169098,0.00019394901755731553,3.083907358814031e-06,0.0,11,0.00028489145915955305,0.00015589140821248293,0.0001256198447663337,3.3802168672991684e-06,0.0,13,0.00028247671434655786,0.000157198024680838,0.00012197437899885699,3.304315214336384e-06,0.0,13,0.0002541964640840888,0.00014443276631936897,3.2330895578525087e-06,0.0,12.0
54,2700,0.00032769140671007335,0.0001889096893137321,0.0001356570137431845,3.1247159313352313e-06,0.0,11,0.000702166638802737,0.0005064266733825207,0.00019269018957857043,3.0497856187139405e-06,0.0,11,0.000276681239483878,0.00014867210120428354,0.00012464601604733616,3.363123369126697e-06,0.0,13,0.0002902564883697778,0.0001653469807934016,0.00012161030463175848,3.299214540675166e-06,0.0,13,0.0002523388611734845,0.0001436508810002124,3.2092098649627587e-06,0.0,12.0
55,2750,0.0003314834029879421,0.00019273794896434993,0.0001356582943117246,3.0871626677253516e-06,0.0,11,0.0007093113963492215,0.0005142060108482838,0.00019209124729968607,3.014193680428434e-06,0.0,11,0.00028089803527109325,0.0001553177717141807,0.00012223521480336785,3.3450344290031353e-06,0.0,13,0.0002836769272107631,0.00015919783618301153,0.00012118520680814981,3.2938944514171453e-06,0.0,13,0.0002553648919274565,0.00014279249080573209,3.1850713071435166e-06,0.0,12.0
56,2800,0.0003358188841957599,0.0001981148379854858,0.00013465355732478201,3.050477971555665e-06,0.0,11,0.0006966819055378437,0.0005021609249524772,0.00019154361507389694,2.9773518690490164e-06,0.0,11,0.0002697959716897458,0.00014550927153322846,0.00012096093269065022,3.3257947507081553e-06,0.0,13,0.00028761610155925155,0.0001633194915484637,0.00012100858293706551,3.2880468552320963e-06,0.0,13,0.0002522761315049138,0.00014204167200659867,3.1604178616362333e-06,0.0,12.0
