,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3
22,1100,1.2745029926300049,1.925253855006304e-06,1.2722488641738892,0.0022522318176925,0.0,36,0.1428571428571428,0.8104035258293152,3.222625082344166e-06,0.8084021806716919,0.0019981060177087,0.0,38,0.0,0.9919646978378296,1.1454907280494808e-06,0.989822804927826,0.0021407608874142,0.0,31,0.0,0.8771430850028992,9.505806701781694e-07,0.8754608035087585,0.0016813109396025538,0.0,24,0.14285714285714285
23,1150,1.2767467498779297,1.7795715621105046e-06,1.27448308467865,0.002261925721541,0.0,35,0.1428571428571428,0.8131441473960876,2.912834588642e-06,0.8111315965652466,0.002009623683989,0.0,38,0.0,0.9954818487167358,2.6461955258128e-06,0.9933427572250366,0.0021364889107644,0.0,31,0.0,0.8765389323234558,8.184194371096964e-07,0.8748637437820435,0.0016743609448894858,0.0,24,0.14285714285714285
24,1200,1.2835206985473633,1.8745121224128525e-06,1.28124737739563,0.0022714515216648,0.0,35,0.1428571428571428,0.8123310804367065,3.1186380056169583e-06,0.8103076219558716,0.0020203576423227,0.0,38,0.0,0.9904982447624208,5.60274770577962e-07,0.9883655905723572,0.0021321112290024,0.0,31,0.0,0.8760308623313904,7.422343060170533e-07,0.8743627667427063,0.0016673507634550333,0.0,24,0.14285714285714285
25,1250,1.2802211046218872,1.5876972838668737e-06,1.2779395580291748,0.0022800103761255,0.0,35,0.1428571428571428,0.8133306503295898,2.6726145279099e-06,0.8112974166870117,0.0020305439829826,0.0,38,0.0,0.988891065120697,1.1885018693646998e-06,0.986762762069702,0.0021271393634378,0.0,31,0.0,0.8749777674674988,2.916009862019564e-06,0.8733139634132385,0.0016609103186056018,0.0,24,0.14285714285714285
26,1300,1.2612862586975098,4.677101969718933e-06,1.2589926719665527,0.0022889166139066,0.0,35,0.1428571428571428,0.8187137246131897,2.6153199996770127e-06,0.8166711330413818,0.0020399952773004,0.0,38,0.0,0.9892314076423644,4.382928295854072e-07,0.987109363079071,0.0021216401364654,0.0,31,0.0,0.8776969313621521,6.60960836285085e-07,0.8760419487953186,0.001654319348745048,0.0,24,0.14285714285714285
27,1350,1.2761160135269165,1.5016794350231066e-06,1.2738162279129028,0.002298200270161,0.0,35,0.1428571428571428,0.8082544207572937,2.8542942800413584e-06,0.8062025904655457,0.0020489448215812,0.0,38,0.0,0.9959149360656738,1.5544712823611917e-06,0.9937976598739624,0.0021157460287213,0.0,31,0.0,0.8746732473373413,2.5495094178040745e-06,0.8730228543281555,0.0016478558536618948,0.0,24,0.14285714285714285
28,1400,1.2852702140808103,1.6826436421979452e-06,1.2829620838165283,0.0023064990527927,0.0,34,0.1428571428571428,0.8131428956985474,2.415911467323894e-06,0.8110830783843994,0.002057395176962,0.0,38,0.0,0.9921169877052308,5.417504098659265e-07,0.990006983280182,0.0021094856783747,0.0,31,0.0,0.877730131149292,5.969734502286883e-07,0.8760881423950195,0.0016413808334618807,0.0,24,0.14285714285714285
29,1450,1.2826942205429075,1.979039325306076e-06,1.280378818511963,0.002313352189958,0.0,34,0.1428571428571428,0.8200725317001343,2.5449967324675526e-06,0.8180045485496521,0.0020653966348618,0.0,38,0.0,0.989206314086914,5.187986857890792e-07,0.9871028065681458,0.0021030001807957,0.0,31,0.0,0.8770079016685486,6.127692131485674e-07,0.8753723502159119,0.001634980202652514,0.0,24,0.14285714285714285
30,1500,1.2806652784347534,1.3809153642796446e-06,1.2783446311950684,0.0023192670196294,0.0,34,0.1428571428571428,0.818645179271698,2.7284404495731e-06,0.8165696263313293,0.0020727873779833,0.0,38,0.0,0.9859678745269777,1.0393238198957988e-06,0.9838705062866212,0.002096346579492,0.0,31,0.0,0.8869056105613708,8.38332107377937e-06,0.88526850938797,0.0016286992467939854,0.0,24,0.14285714285714285
31,1550,1.259867548942566,3.783259671763517e-06,1.2575387954711914,0.0023249443620443,0.0,34,0.1428571428571428,0.8167669773101807,2.058038035102072e-06,0.8146851658821106,0.0020797469187527,0.0,38,0.0,0.9878200888633728,1.0796956075864728e-06,0.9857295751571656,0.0020894357003271,0.0,31,0.0,0.8794840574264526,6.24509937097173e-07,0.8778610229492188,0.0016224143328145146,0.0,24,0.14285714285714285
