,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0
75,3750,3.4009863156825304e-05,1.553669062559493e-05,1.533744034531992e-05,3.135735823889263e-06,0.0,18
76,3800,3.4061034966725856e-05,1.5337782315327786e-05,1.558665644552093e-05,3.1365948416350875e-06,0.0,18
77,3850,3.214080788893625e-05,1.4404293324332684e-05,1.4599537280446384e-05,3.136976829409832e-06,0.0,18
78,3900,3.2798026950331405e-05,1.4747221030120272e-05,1.4913583981979173e-05,3.137222392979311e-06,0.0,18
79,3950,3.166774331475608e-05,1.3934823982708622e-05,1.4594915228371974e-05,3.1380029668071074e-06,0.0,18
80,4000,3.196752004441805e-05,1.4247535546019208e-05,1.4582177755073644e-05,3.137808334940928e-06,0.0,18
81,4050,3.0429962862399407e-05,1.3114651665091515e-05,1.4177049706631806e-05,3.1382610359287355e-06,0.0,18
82,4100,3.17601952701807e-05,1.4085673683439381e-05,1.4536395610775799e-05,3.138124839097145e-06,0.0,18
83,4150,3.131264020339586e-05,1.3815962120133918e-05,1.4358849512063898e-05,3.1378301628137706e-06,0.0,18
84,4200,3.176147220074199e-05,1.4235102753445972e-05,1.4388338968274184e-05,3.1380291147797834e-06,0.0,18
85,4250,3.195838871761225e-05,1.4718398233526386e-05,1.4102667591942009e-05,3.1373222100228304e-06,0.0,18
86,4300,3.060700328205712e-05,1.3423324162431527e-05,1.4046349861018825e-05,3.13732971335412e-06,0.0,18
87,4350,2.967653563246131e-05,1.291502394451527e-05,1.3624596249428578e-05,3.1369165753858397e-06,0.0,18
88,4400,3.1106745154829696e-05,1.4115593330643605e-05,1.3854968528903555e-05,3.1361823857878335e-06,0.0,18
89,4450,3.0519498977810144e-05,1.3472445971274283e-05,1.391156911267899e-05,3.135484575977898e-06,0.0,18
90,4500,3.09112983813975e-05,1.3938226402387954e-05,1.3837900041835383e-05,3.135171482426813e-06,0.0,18
91,4550,3.1186591513687745e-05,1.4240783457353245e-05,1.3811675671604462e-05,3.134131702609011e-06,0.0,18
92,4600,3.085780917899683e-05,1.4378219020727556e-05,1.3346270861802623e-05,3.1333167953562224e-06,0.0,18
93,4650,3.116759398835711e-05,1.440415780962212e-05,1.36311737151118e-05,3.132263373117894e-06,0.0,18
94,4700,3.057118010474369e-05,1.4119729712547269e-05,1.3319767276698258e-05,3.13168425236654e-06,0.0,18
95,4750,3.0013812647666782e-05,1.3778975699096918e-05,1.3104113349982072e-05,3.1307247354561696e-06,0.0,18
96,4800,3.209918941138312e-05,1.5384837752208114e-05,1.3584860425908118e-05,3.1294894142774865e-06,0.0,18
97,4850,3.110394027316943e-05,1.5088330655999016e-05,1.2887367120129056e-05,3.1282438612834085e-06,0.0,18
98,4900,3.060061135329306e-05,1.4726191693625879e-05,1.2747424079861958e-05,3.1269958071789006e-06,0.0,18
99,4950,3.0652267014374956e-05,1.4556666428688914e-05,1.2969701856491156e-05,3.125900320810615e-06,0.0,18
100,5000,3.102096161455847e-05,1.4853713764750864e-05,1.3042738828517031e-05,3.124509476037929e-06,0.0,18
