,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4
26,1300.0,0.0015525914495810866,0.0006346746813505888,3.178232418576954e-06,0.0,9,14.0,0.007099180482327938,0.001039074151776731,1.917539748319541e-06,0.0,11,14.0,0.0015279962681233883,0.0009416049579158425,1.2145518439865555e-06,0.0,4,9.0,0.00092332559870556,0.0007648973842151463,2.9506909413612448e-06,0.0,9,10.0,0.0032622618600726128,0.0007257680408656597,2.4860069061105605e-06,0.0,8,11.0
27,1350.0,0.0013625185238197446,0.0006347965681925416,3.1970434974937234e-06,0.0,9,14.0,0.006874915678054094,0.0010167387081310153,1.8998575797013473e-06,0.0,11,14.0,0.0014703308697789907,0.00091488694306463,1.2249182645973633e-06,0.0,4,9.0,0.0008622199529781938,0.0007489915005862713,3.0509609132423066e-06,0.0,9,10.0,0.002466122852638364,0.0007399273454211652,2.557942252678913e-06,0.0,8,11.0
28,1400.0,0.001234512310475111,0.0006379854748956859,3.2078492040454876e-06,0.0,9,14.0,0.0066593848168849945,0.0009898822754621506,1.9067362018176937e-06,0.0,10,13.0,0.0014113537035882473,0.0008883803384378552,1.2362306733848527e-06,0.0,4,9.0,0.0008150673820637167,0.0007343680481426418,3.1552146992908092e-06,0.0,9,10.0,0.0020025260746479034,0.0007388210506178439,2.6182028705079574e-06,0.0,8,11.0
29,1450.0,0.0011047101579606533,0.0006400007987394929,3.2129771625477588e-06,0.0,9,14.0,0.0062911780551075935,0.0009660038631409407,1.9452122614893597e-06,0.0,10,13.0,0.0013620042009279132,0.0008587135234847665,1.2468049135350157e-06,0.0,4,9.0,0.0007718777633272111,0.0007226936868391931,3.262200834797113e-06,0.0,9,10.0,0.00167830940335989,0.0007313868263736367,2.6733996492112055e-06,0.0,8,11.0
30,1500.0,0.0010213404893875122,0.0006406706525012851,3.2137290872924495e-06,0.0,9,14.0,0.0055788191966712475,0.0009664503741078079,2.014406618400244e-06,0.0,10,13.0,0.0013167208526283503,0.0008355313912034035,1.2566766827148967e-06,0.0,4,9.0,0.0007408028468489647,0.0007130453595891595,3.3699627692840295e-06,0.0,9,10.0,0.0014350253622978926,0.0007122003007680178,2.7245707769907312e-06,0.0,8,11.0
31,1550.0,0.0009410962811671197,0.0006386651075445116,3.2136588288267376e-06,0.0,9,14.0,0.004403095692396164,0.0009924982441589236,2.1197561181907076e-06,0.0,10,13.0,0.0012740505626425147,0.000813674065284431,1.2671084732573945e-06,0.0,4,9.0,0.0007115429034456611,0.0007053640438243747,3.4781066915456904e-06,0.0,9,10.0,0.0012580568436533213,0.000685204635374248,2.7697931272996357e-06,0.0,8,11.0
32,1600.0,0.000889510614797473,0.0006352601340040565,3.2149437174666673e-06,0.0,9,14.0,0.003469871822744608,0.0009895754046738148,2.2287556475930614e-06,0.0,10,13.0,0.0012354878708720207,0.00079292559530586,1.2779244116245536e-06,0.0,4,9.0,0.0006778999813832343,0.000697920098900795,3.5850005133397644e-06,0.0,9,10.0,0.0011014888295903802,0.0006426477339118719,2.804918722176808e-06,0.0,8,11.0
33,1650.0,0.000830159755423665,0.0006308679585345089,3.218841811758466e-06,0.0,9,14.0,0.002888368209823966,0.000981871853582561,2.3015786609903444e-06,0.0,10,13.0,0.0012008973862975836,0.0007726020412519574,1.2901384707220132e-06,0.0,4,9.0,0.0006553521961905062,0.000690056593157351,3.6887493024551077e-06,0.0,9,10.0,0.000987450242973864,0.0006121256737969816,2.8265260425541783e-06,0.0,8,11.0
34,1700.0,0.0007835812866687775,0.000625698477961123,3.2258155897579854e-06,0.0,9,14.0,0.0024680837523192167,0.0009840037673711777,2.3475538455386413e-06,0.0,9,14.0,0.0011687279911711812,0.0007535329204984009,1.302942905567761e-06,0.0,4,9.0,0.0006388017209246755,0.0006816394161432981,3.7895824789302424e-06,0.0,9,10.0,0.000897254329174757,0.0005847341963090003,2.844403070412227e-06,0.0,8,11.0
35,1750.0,0.000750947801861912,0.0006203706725500524,3.235242047594511e-06,0.0,9,14.0,0.002193855820223689,0.000962231308221817,2.3804811917216284e-06,0.0,9,14.0,0.0011406640987843275,0.0007360817980952561,1.316265979767195e-06,0.0,4,9.0,0.0006226925761438906,0.0006724801496602595,3.8866669456183445e-06,0.0,9,10.0,0.0008270494290627539,0.0005618587601929903,2.8567299068527063e-06,0.0,8,11.0
36,1800.0,0.0007189934840425849,0.0006144141079857945,3.2460332022310467e-06,0.0,9,14.0,0.002006473485380411,0.0009407157776877284,2.4026655864872737e-06,0.0,9,14.0,0.0011102448916062713,0.0007202819106169045,1.3297019449964864e-06,0.0,4,9.0,0.0006060826126486063,0.0006623819353990257,3.97971598431468e-06,0.0,9,10.0,0.0007656902889721096,0.0005433230544440448,2.8623010166484164e-06,0.0,8,11.0
37,1850.0,0.0006953859701752663,0.0006092977710068226,3.2583207030256744e-06,0.0,9,14.0,0.001844758982770145,0.0009102493058890104,2.4159294298442546e-06,0.0,9,14.0,0.001082855393178761,0.0007061813375912607,1.3427738849713933e-06,0.0,4,9.0,0.0005695847794413567,0.0006512415711767972,4.068525413458701e-06,0.0,9,10.0,0.0007178622181527317,0.0005278271273709834,2.860630957002286e-06,0.0,8,11.0
38,1900.0,0.0006710879388265312,0.0006043955218046904,3.2703642318665516e-06,0.0,9,14.0,0.0017067090375348926,0.0008871985482983291,2.425508228043327e-06,0.0,9,14.0,0.0010614685015752912,0.0006935767596587539,1.355877316200349e-06,0.0,4,9.0,0.0005463294801302254,0.0006388016627170146,4.152165729465196e-06,0.0,9,10.0,0.0006727233994752169,0.000515695777721703,2.8522515549411764e-06,0.0,8,11.0
39,1950.0,0.0006468196515925229,0.000599148974288255,3.2829743759066332e-06,0.0,9,14.0,0.0015969937667250633,0.0008686215151101351,2.4356281755899545e-06,0.0,9,14.0,0.0010282957227900624,0.000682263751514256,1.36892310820258e-06,0.0,4,9.0,0.0005302143981680274,0.0006246942793950438,4.228944362694165e-06,0.0,9,10.0,0.000638673547655344,0.0005064678844064474,2.8390697934810305e-06,0.0,8,11.0
