,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,total_6,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,total_7,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7
20,1000,0.00038177307578735054,6.423859304049984e-05,0.00031527975806966424,2.2547176286025206e-06,0.0,15,0.00030039146076887846,3.285886123194359e-05,0.00026443813112564385,3.094461590080755e-06,0.0,17,0.0002611255622468889,4.8612917453283444e-05,0.0002099223347613588,2.590293433968327e-06,0.0,12,0.0004014456644654274,0.0001015425514196977,0.0002970152418129146,2.8878655484732008e-06,0.0,13,0.0006505816127173603,8.986722968984395e-05,0.0005579586140811443,2.755781451924122e-06,0.0,14,0.0003466758062131703,6.642159132752568e-05,0.00027742970269173384,2.824538569257129e-06,0.0,14,0.00042710514389909804,7.289340283023193e-05,0.0003509210655465722,3.290673703304492e-06,0.0,12,0.0006269201985560358,0.0001367454242426902,0.00048639168380759656,3.7830927794857416e-06,0.0,18
21,1050,0.00036965380422770977,6.572998245246708e-05,0.00030167686054483056,2.2469498617283534e-06,0.0,15,0.0002959599660243839,3.4727578167803586e-05,0.00025808869395405054,3.143694812024478e-06,0.0,17,0.00024971331004053354,4.42535056208726e-05,0.00020290419342927635,2.5555971205903916e-06,0.0,12,0.00037972573773004115,9.524499910185114e-05,0.00028158185887150466,2.8988845315325307e-06,0.0,13,0.0006370601477101445,8.597061241744086e-05,0.0005482761189341545,2.8134286367276218e-06,0.0,14,0.0003261841193307191,5.676291402778588e-05,0.00026653881650418043,2.8823901629948523e-06,0.0,13,0.00040709349559620023,6.388819019775838e-05,0.00033982767490670085,3.377630264367326e-06,0.0,12,0.0006049862131476402,0.00012964470079168677,0.0004714863607659936,3.855142949760193e-06,0.0,18
22,1100,0.00035883861710317433,6.875266990391538e-05,0.0002878511731978506,2.2347746835293947e-06,0.0,15,0.0003027078346349299,4.677017204812728e-05,0.00025274651125073433,3.191136102032033e-06,0.0,17,0.000258241401752457,5.8676712797023356e-05,0.00019707359024323523,2.491097575330059e-06,0.0,10,0.00036529451608657837,9.412033250555396e-05,0.0002682757331058383,2.8984561595279956e-06,0.0,13,0.0006247292039915919,8.311789861181751e-05,0.0005387440323829651,2.8672227472270606e-06,0.0,14,0.0003168073599226773,5.741137283621356e-05,0.00025644415291026235,2.951839178422233e-06,0.0,13,0.0003912661923095584,5.8776324294740334e-05,0.000329033617163077,3.4562410746730166e-06,0.0,12,0.0005857314099557698,0.00012463907478377223,0.00045717012835666537,3.922204996342771e-06,0.0,18
23,1150,0.00034700307878665626,7.05106504028663e-05,0.00027427327586337924,2.2191259176906897e-06,0.0,15,0.00027513119857758284,2.5613906473154202e-05,0.00024626843514852226,3.248874691053061e-06,0.0,17,0.00022937981702852994,3.579336407710798e-05,0.00019112291920464486,2.463541250108392e-06,0.0,10,0.0003684965777210891,0.00010926022514468059,0.0002563512825872749,2.8850486160081346e-06,0.0,12,0.0006125411600805819,8.048395829973742e-05,0.0005291390116326511,2.9181990157667315e-06,0.0,14,0.0002994701499119401,4.958244971930981e-05,0.0002468606980983168,3.026994136234862e-06,0.0,13,0.0003950191894546151,7.258082769112661e-05,0.00031891243997961283,3.5259267860965338e-06,0.0,12,0.0005709393881261349,0.00012282728857826442,0.00044412596616894007,3.986101546615828e-06,0.0,18
24,1200,0.0003528117958921939,8.85395857039839e-05,0.00026207021437585354,2.2020037704351125e-06,0.0,15,0.00028029814711771905,3.566838495316915e-05,0.0002413409820292145,3.2888035548239714e-06,0.0,16,0.0002551710931584239,6.619087798753753e-05,0.00018653686856850982,2.443365929138963e-06,0.0,10,0.00034784505260176957,9.851391951087862e-05,0.0002464517892803997,2.879338808270404e-06,0.0,12,0.0006124945357441902,8.912790508475155e-05,0.0005204129847697914,2.953633611468831e-06,0.0,13,0.0002929966722149402,5.2073857659706846e-05,0.00023782128118909895,3.1015422337077325e-06,0.0,13,0.0003887716156896204,7.648702739970759e-05,0.0003086982760578394,3.5863208722730633e-06,0.0,12,0.0005424752016551793,0.0001076052722055465,0.00043082216870971024,4.047739366797032e-06,0.0,18
25,1250,0.00032828509574756026,7.572604226879776e-05,0.00025036558508872986,2.1934690721536754e-06,0.0,14,0.00026290322421118617,2.443940866214689e-05,0.00023512181360274553,3.3420049021515297e-06,0.0,15,0.00022405225900001824,3.98217816837132e-05,0.0001818078599171713,2.4226203549915226e-06,0.0,10,0.00033068511402234435,9.018625132739544e-05,0.00023763393983244896,2.864915586542338e-06,0.0,12,0.0005896322545595467,7.615091453772038e-05,0.0005104754236526787,3.0059222808631603e-06,0.0,13,0.0002768626145552844,4.492984226089902e-05,0.00022875628201290965,3.176485734002199e-06,0.0,13,0.0003669076832011342,6.526946526719257e-05,0.0002980003191623837,3.637903319031466e-06,0.0,12,0.0005307021201588213,0.00010841488256119192,0.0004181794938631356,4.107777840545168e-06,0.0,18
26,1300,0.00031919978209771216,7.761621236568317e-05,0.00023941289691720158,2.1706666757381754e-06,0.0,14,0.00025404454208910465,2.1595318685285747e-05,0.0002290356787852943,3.41352870236733e-06,0.0,15,0.00025026436196640134,6.955057324375957e-05,0.0001783131592674181,2.400628090981627e-06,0.0,10,0.0003212226729374379,8.822653035167605e-05,0.00023015221813693643,2.8439246761990944e-06,0.0,12,0.0005945704760961235,9.110652172239497e-05,0.0005004142294637859,3.0497267289320007e-06,0.0,13,0.0002813439059536904,5.6744098401395604e-05,0.00022134851315058768,3.2512912184756715e-06,0.0,13,0.00034970708657056093,5.79051484237425e-05,0.0002881216933019459,3.680223471747013e-06,0.0,12,0.000515194027684629,0.00010528277925914153,0.00040574392187409103,4.167297447565943e-06,0.0,18
27,1350,0.0003088568919338286,7.854829163989052e-05,0.00022817087301518768,2.1377491066232324e-06,0.0,14,0.00024841600679792464,2.156014488718938e-05,0.0002233687846455723,3.4870702165790135e-06,0.0,15,0.0002043575659627095,2.7721618607756682e-05,0.00017425764235667884,2.3783052256476367e-06,0.0,10,0.00030580529710277915,8.088176400633529e-05,0.00022210470342542976,2.818826942529995e-06,0.0,12,0.0005670847604051232,7.24282072042115e-05,0.0004915671888738871,3.0893529583408963e-06,0.0,13,0.00025272846687585115,3.637647023424506e-05,0.00021302573441062123,3.3262647320952965e-06,0.0,13,0.00033262494252994657,5.055407018517144e-05,0.0002783574163913727,3.713442310981918e-06,0.0,12,0.0004945166874676943,9.62856865953654e-05,0.00039400492096319795,4.226080818625633e-06,0.0,18
28,1400,0.0002944289008155465,7.506269321311265e-05,0.00021724001271650195,2.126221943399287e-06,0.0,13,0.00024064398894552141,1.9063778381678276e-05,0.00021802181436214596,3.558397565939231e-06,0.0,15,0.0001993343175854534,2.6137469831155613e-05,0.0001708531635813415,2.3436855371983256e-06,0.0,9,0.00029588956385850906,7.760787411825731e-05,0.00021549021766986698,2.7914638849324547e-06,0.0,12,0.00055194046581164,6.67341155349277e-05,0.00048208131920546293,3.1250654046743875e-06,0.0,13,0.00024343062250409275,3.4643770050024614e-05,0.00020538481476251036,3.4020292787317885e-06,0.0,13,0.0003271241148468107,5.4857337090652436e-05,0.000268529198365286,3.737585075214156e-06,0.0,12,0.0004801842151209712,9.31510076043196e-05,0.00038275259430520236,4.280619577912148e-06,0.0,17
29,1450,0.0002844212285708636,7.410268153762445e-05,0.00020821222278755158,2.1063372059870744e-06,0.0,13,0.000237037762417458,2.0573903384502046e-05,0.00021283702517393976,3.62683522325824e-06,0.0,15,0.00019480129412841052,2.4582639525760897e-05,0.0001678826956776902,2.335955059606931e-06,0.0,9,0.0002872551267500967,7.529409049311653e-05,0.00020919925009366125,2.761789119176683e-06,0.0,12,0.0005419351509772241,6.647632835665718e-05,0.0004723022284451872,3.1565850804327056e-06,0.0,13,0.0002619514998514205,5.988450357108377e-05,0.00019858835730701685,3.4786212381732184e-06,0.0,13,0.0003232285671401769,6.009508797433227e-05,0.0002593807002995163,3.752804559553624e-06,0.0,12,0.0004700548597611487,9.425658936379477e-05,0.00037145905662328005,4.339205133874202e-06,0.0,17
