,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1
41,2050,1.1838705177069642e-05,3.235649955968256e-06,2.278597548865946e-06,6.324457899609115e-06,0.0,18,0.42857142857142855,1.3908538676332682e-05,1.169532083622471e-06,3.4269633033545688e-06,9.31204340304248e-06,0.0,21,0.14285714285714285
42,2100,1.0933394150924869e-05,2.4507623948011314e-06,2.1784696855320362e-06,6.30416161584435e-06,0.0,18,0.42857142857142855,1.4137142898107413e-05,1.5193108993116766e-06,3.3873095617309446e-06,9.230522664438467e-06,0.0,21,0.14285714285714285
43,2150,1.0731885595305357e-05,2.2997473934083246e-06,2.148527300960268e-06,6.283610673563089e-06,0.0,18,0.42857142857142855,1.3610727364721242e-05,1.1481849924166454e-06,3.316047695989255e-06,9.146494448941667e-06,0.0,21,0.14285714285714285
44,2200,1.1878574696311262e-05,3.4276804399269167e-06,2.1877599465369713e-06,6.2631343098473735e-06,0.0,18,0.42857142857142855,1.5791096302564256e-05,3.282676289018127e-06,3.4480199246900156e-06,9.060399861482438e-06,0.0,21,0.14285714285714285
45,2250,1.2241020158398896e-05,3.689161985676037e-06,2.3093055006029317e-06,6.242552899493603e-06,0.0,18,0.42857142857142855,1.3229539035819471e-05,1.0416733857709914e-06,3.2154973723663716e-06,8.972368050308432e-06,0.0,21,0.14285714285714285
46,2300,1.0599562301649712e-05,2.3010325094219297e-06,2.076440978271421e-06,6.22208835920901e-06,0.0,18,0.42857142857142855,1.33394878503168e-05,1.2724567568511702e-06,3.1834799756325083e-06,8.883551345206797e-06,0.0,21,0.14285714285714285
47,2350,1.0665638001228217e-05,2.427084609735175e-06,2.036984369624406e-06,6.2015687944949605e-06,0.0,18,0.42857142857142855,1.4587652913178317e-05,2.4634086912556086e-06,3.3308344882243546e-06,8.793409506324679e-06,0.0,21,0.14285714285714285
48,2400,1.0496019967831671e-05,2.2870353859616444e-06,2.0281570414226735e-06,6.180827313073678e-06,0.0,18,0.42857142857142855,1.5548044757451862e-05,3.6182652820571093e-06,3.2282214306178503e-06,8.701558726897929e-06,0.0,21,0.14285714285714285
49,2450,1.2804665857402142e-05,4.350644758233102e-06,2.29386114369845e-06,6.16015995547059e-06,0.0,18,0.42857142857142855,1.2996571967960335e-05,1.3117587513988838e-06,3.0755413717997726e-06,8.60927229950903e-06,0.0,21,0.14285714285714285
50,2500,1.034429715218721e-05,2.235793090221705e-06,1.968749984371243e-06,6.139754077594262e-06,0.0,18,0.42857142857142855,1.2567112207761966e-05,1.021780917653814e-06,3.0300284379336517e-06,8.515302397427149e-06,0.0,21,0.14285714285714285
