,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4
20,1000,9.124754433287308e-05,1.86674551514443e-05,6.873704114696011e-05,3.843048489216017e-06,0.0,21,5.6068987760227174e-05,1.3023473911744077e-05,3.968121745856479e-05,3.3642977541603614e-06,0.0,25,4.79015834571328e-05,1.1093393368355464e-05,3.433938036323525e-05,2.4688072244316572e-06,0.0,20,4.3383286538301036e-05,9.860496902547311e-06,3.018920324393548e-05,3.3335857096972177e-06,0.0,24,6.364173168549314e-05,1.7934522475115955e-05,4.313675526645966e-05,2.5704568997753086e-06,0.0,26
21,1050,8.232549589592963e-05,1.6418714949395508e-05,6.201066571520641e-05,3.896116140822414e-06,0.0,21,5.240651807980612e-05,1.4947559975553304e-05,3.406572068342939e-05,3.393236966076074e-06,0.0,24,4.69773294753395e-05,1.170543418993475e-05,3.2804593502078205e-05,2.4673033749422757e-06,0.0,19,4.126221756450832e-05,9.496099664829671e-06,2.841694004018791e-05,3.3491794511064654e-06,0.0,24,6.404631858458742e-05,1.844191865529865e-05,4.3033509427914396e-05,2.5708966404636158e-06,0.0,26
22,1100,7.750045915599912e-05,1.6774478353909217e-05,5.678504385286942e-05,3.94093376598903e-06,0.0,21,4.693836672231555e-05,1.2304773918003775e-05,3.1231687898980454e-05,3.401901722099865e-06,0.0,24,4.491699655773118e-05,1.1524522051331587e-05,3.092713450314477e-05,2.465341822244227e-06,0.0,19,3.766253212234005e-05,9.527607289783191e-06,2.4785018467810005e-05,3.3499043183837784e-06,0.0,24,6.039200525265187e-05,1.842054734879639e-05,3.9398881199304014e-05,2.5725751129357377e-06,0.0,26
23,1150,7.651746273040771e-05,1.711171898932662e-05,5.542175131267868e-05,3.983993792644469e-06,0.0,20,4.480858478927985e-05,1.3440209841064643e-05,2.7966067136731e-05,3.402308038857882e-06,0.0,24,4.2568612116156146e-05,1.078199602488894e-05,2.933004179794807e-05,2.4565729290770832e-06,0.0,19,3.710435703396797e-05,1.006741058517946e-05,2.3692195100011304e-05,3.3447497571614804e-06,0.0,23,6.0414502513594925e-05,1.7494598068878986e-05,4.0340397390536964e-05,2.5795075089263264e-06,0.0,26
24,1200,6.980710168136284e-05,1.5538587831542827e-05,5.0247293984284624e-05,4.0212175917986315e-06,0.0,20,4.317380808060989e-05,1.301203064940637e-05,2.6768495445139706e-05,3.393281531316461e-06,0.0,24,4.1629373299656436e-05,1.0343922440370079e-05,2.884446621465031e-05,2.4409844172623707e-06,0.0,19,3.4264656278537586e-05,8.95574612513883e-06,2.1970201487420127e-05,3.33870912072598e-06,0.0,23,6.370033952407539e-05,1.7859210856840946e-05,4.325834015617147e-05,2.5827923764154548e-06,0.0,26
25,1250,6.756443326594308e-05,1.5033158888400067e-05,4.8479832912562415e-05,4.051443738717353e-06,0.0,20,4.399480894790031e-05,1.140613585448591e-05,2.9196073228376918e-05,3.392601229279535e-06,0.0,24,4.04732818424236e-05,1.0353785000916105e-05,2.769642924249638e-05,2.4230696453741984e-06,0.0,18,3.365613883943297e-05,8.802542652119882e-06,2.1523979739868082e-05,3.3296166748186806e-06,0.0,23,5.537719334824942e-05,1.837100353441201e-05,3.4416982089169323e-05,2.5892093162838137e-06,0.0,26
26,1300,7.100439688656479e-05,1.7296084479312412e-05,4.962930688634515e-05,4.079005520907231e-06,0.0,20,3.895394183928147e-05,1.2881760085292626e-05,2.267925265186932e-05,3.3929263736354187e-06,0.0,24,3.9216847653733566e-05,1.0356457096349914e-05,2.6438376153237186e-05,2.4220144041464664e-06,0.0,18,3.1562147341901436e-05,8.318106665683445e-06,1.9924817024730146e-05,3.319221150377416e-06,0.0,22,5.852814865647815e-05,1.748129398038145e-05,3.845432729576714e-05,2.5925298814399866e-06,0.0,26
27,1350,6.396804383257404e-05,1.4921935871825553e-05,4.493735104915686e-05,4.108756456844276e-06,0.0,20,4.111481030122377e-05,1.301854081248166e-05,2.467653939675074e-05,3.419728273001965e-06,0.0,22,3.655745604191907e-05,8.971472198027186e-06,2.516651147743687e-05,2.419469183223555e-06,0.0,18,3.1658255466027185e-05,8.630616321170237e-06,1.971849997062236e-05,3.3091389468609123e-06,0.0,22,5.8460682339500636e-05,1.856382550613489e-05,3.7303445424186066e-05,2.5934116365533555e-06,0.0,26
28,1400,6.489241059171036e-05,1.646006785449572e-05,4.4294331019045785e-05,4.13801444665296e-06,0.0,20,4.5056203816784546e-05,1.1615316907409579e-05,3.0018603865755722e-05,3.42228281624557e-06,0.0,22,3.59927216777578e-05,9.589829460310284e-06,2.3987860913621262e-05,2.4150306217052275e-06,0.0,18,3.112453850917518e-05,8.291353879030794e-06,1.953548962774221e-05,3.297694547654828e-06,0.0,22,5.888150553801097e-05,1.7454220142099075e-05,3.883475437760353e-05,2.592529654066311e-06,0.0,26
29,1450,6.522283365484327e-05,1.776208773662802e-05,4.329675721237436e-05,4.163986432104139e-06,0.0,20,3.4158470953116193e-05,9.604952538211364e-06,2.1140147509868257e-05,3.4133684039261425e-06,0.0,22,3.530609319568612e-05,9.655338544689585e-06,2.3242677343660034e-05,2.408074806226068e-06,0.0,18,2.9424378226394765e-05,7.637808266736101e-06,1.849024192779325e-05,3.296326894997037e-06,0.0,22,5.7183500757673755e-05,1.8605087461764924e-05,3.598840703489259e-05,2.5900044420268387e-06,0.0,26
