,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
20,1000,0.0007824621279723942,0.00037804225576110184,0.00039620394818484783,8.215929483412765e-06,0.0,17,0.0005614085239358246,0.00011178237764397636,0.00044136366341263056,8.262479241238907e-06,0.0,16,0.0005023281555622816,0.0001580967364134267,0.00033551984233781695,8.71156225912273e-06,0.0,17,0.0012077480787411332,0.0008443082333542407,0.0003552174021024257,8.222435099014547e-06,0.0,17,0.0006686068954877555,0.0003146173257846385,0.0003457099082879722,8.279625944851432e-06,0.0,18,0.000851363583933562,0.00048592276289127767,0.00035579127143137157,9.64954415394459e-06,0.0,20,0.00038212828197477694,0.0003716343392928441,8.556929363597494e-06,0.0,17.5
21,1050,0.00078679493162781,0.00039580700104124844,0.0003825550666078925,8.43287034513196e-06,0.0,17,0.0005499026156030595,0.00010411896801088005,0.0004372884286567569,8.495228939864319e-06,0.0,16,0.00047742266906425357,0.0001479909406043589,0.00032058623037301004,8.845486263453495e-06,0.0,17,0.0011913338676095009,0.0008814158500172198,0.00030160072492435575,8.317291758430656e-06,0.0,17,0.0006476743146777153,0.0003046515048481524,0.0003344825527165085,8.540228009223938e-06,0.0,18,0.0008246671059168875,0.00046974181896075606,0.0003451512602623552,9.774041245691478e-06,0.0,20,0.0003839543472471026,0.0003536107105901465,8.73419109363264e-06,0.0,17.5
22,1100,0.0007543587707914412,0.0003746181319002062,0.000371097878087312,8.642744433018379e-06,0.0,17,0.0005464220885187387,0.00010405130160506815,0.00043364771408960223,8.723051905690227e-06,0.0,16,0.0004501737712416798,0.00013362610479816794,0.0003075712884310633,8.976376193459146e-06,0.0,17,0.001055784523487091,0.0007843521889299154,0.00026303529739379883,8.397035344387405e-06,0.0,17,0.000661232159473002,0.0003290720924269408,0.0003233597963117063,8.800327123026364e-06,0.0,18,0.000806126045063138,0.00046120904153212905,0.0003350079932715744,9.909057553159073e-06,0.0,19,0.00036448814353207126,0.0003389533279308428,8.908098758790098e-06,0.0,17.333333333333332
23,1150,0.0006992520648054779,0.00033149030059576035,0.00035891824518330395,8.843531759339385e-06,0.0,17,0.0005403133691288531,0.00010159017983824015,0.00042978455894626677,8.938659448176622e-06,0.0,16,0.00043562304927036166,0.0001299617433687672,0.00029655260732397437,9.108683116210159e-06,0.0,17,0.0009549741516821086,0.0007095551118254662,0.00023693505499977618,8.48399031383451e-06,0.0,16,0.000616110279224813,0.0002937793324235827,0.00031329086050391197,9.040124496095814e-06,0.0,18,0.0007831893162801862,0.00044813487329520285,0.0003250296285841614,1.00248016678961e-05,0.0,19,0.00033575192355783656,0.0003267518259235658,9.073298466925431e-06,0.0,17.166666666666664
24,1200,0.0006523716729134321,0.00029326381627470255,0.00035007193218916655,9.035932635015342e-06,0.0,17,0.0005762086948379874,0.0001412334240740165,0.000425832491600886,9.142811904894188e-06,0.0,16,0.0004202665586490184,0.000123440200695768,0.00028758158441632986,9.244786269846372e-06,0.0,16,0.0008875760831870139,0.0006583554204553366,0.00022064225049689412,8.578406777814962e-06,0.0,15,0.0005934570217505097,0.0002845764975063503,0.000299655192065984,9.225303074344993e-06,0.0,17,0.0007726754411123693,0.0004448009713087231,0.00031774601666256785,1.0128424946742598e-05,0.0,19,0.00032427838838581613,0.00031692157790530473,9.225944268109743e-06,0.0,16.666666666666664
25,1250,0.0006329499301500618,0.0002838419459294528,0.0003398764820303768,9.231525837094523e-06,0.0,17,0.0005249468376860023,9.276971832150593e-05,0.00042284169467166066,9.335424692835659e-06,0.0,16,0.00041286984924227,0.00012657100160140544,0.00027690379647538066,9.395051165483892e-06,0.0,16,0.0008295525331050158,0.000615121447481215,0.0002057860983768478,8.645024536235724e-06,0.0,15,0.0005734856822527945,0.00027398907695896924,0.00029011713922955096,9.379448783874977e-06,0.0,17,0.0007576934876851737,0.00043722905684262514,0.00031024482450447977,1.0219573596259579e-05,0.0,19,0.0003049203745225289,0.0003076283392147161,9.367674768630725e-06,0.0,16.666666666666664
26,1300,0.0006036870181560516,0.00026357569731771946,0.00033069655182771385,9.414761734660715e-06,0.0,17,0.0005106141325086355,8.271208935184404e-05,0.0004183787095826119,9.523359949525911e-06,0.0,16,0.0004031169228255749,0.0001275650574825704,0.00026601424906402826,9.537602636555675e-06,0.0,16,0.0007710647769272327,0.0005675465217791498,0.00019480567425489426,8.712554517842364e-06,0.0,14,0.000553680001758039,0.00026119922404177487,0.0002829627483151853,9.518014849163592e-06,0.0,17,0.0007482505170628428,0.0004334907280281186,0.0003044571785721928,1.0302633199898992e-05,0.0,19,0.00028934821966686286,0.00029955251860277105,9.501487814607874e-06,0.0,16.5
27,1350,0.0005704853101633489,0.00023785742814652622,0.00032304201158694923,9.58584678301122e-06,0.0,17,0.0005071050254628062,8.348239498445764e-05,0.00041390437399968505,9.718251931190025e-06,0.0,16,0.0003810545604210347,0.00011536602687556297,0.0002560190041549504,9.669532119005453e-06,0.0,16,0.0007301062578335404,0.0005374511820264161,0.00018388040189165622,8.774693014856894e-06,0.0,14,0.0005419909721240401,0.00025565101532265544,0.0002766981488093734,9.641807992011309e-06,0.0,17,0.0007404812495224178,0.0004316258418839425,0.00029848123085685074,1.037417405314045e-05,0.0,19,0.00027690564820659347,0.0002920041952165775,9.627384315535892e-06,0.0,16.5
28,1400,0.0005596979754045606,0.00023704580962657928,0.00031290462356992066,9.747544936544728e-06,0.0,17,0.0004935715114697814,7.343896868405864e-05,0.00041022911318577826,9.903447789838538e-06,0.0,15,0.0003743768611457199,0.00011879172234330326,0.0002457930240780115,9.792134733288549e-06,0.0,16,0.0006938308943063021,0.0005102104041725397,0.0001747894857544452,8.831041668599937e-06,0.0,14,0.0005274458089843392,0.00024546406348235905,0.00027222229982726276,9.759453860169742e-06,0.0,17,0.0007359046721830964,0.00043161638313904405,0.00029385328525677323,1.043501470121555e-05,0.0,19,0.00026942789190798067,0.00028496530527869857,9.744772948276173e-06,0.0,16.333333333333332
29,1450,0.0005390945007093251,0.00022438692394644022,0.0003048114595003426,9.896136361930985e-06,0.0,17,0.000494222273118794,7.807527435943484e-05,0.00040607547271065414,1.0071542419609614e-05,0.0,15,0.0003607124090194702,0.00011704416101565585,0.00023376135504804552,9.906872037390713e-06,0.0,16,0.0006766648730263114,0.0005006248247809708,0.00016715595847927034,8.884146154741757e-06,0.0,14,0.0005316882743500173,0.0002532661601435393,0.0002685515792109072,9.870578651316464e-06,0.0,17,0.0007342712488025427,0.0004348593938630074,0.0002889221941586584,1.0489688065717928e-05,0.0,19,0.0002680427896848414,0.00027821300318464637,9.85316061511791e-06,0.0,16.333333333333332
30,1500,0.0005164731992408633,0.00020945040159858763,0.0002969873894471675,1.0035387276730035e-05,0.0,17,0.00048314774176105857,7.047041435725987e-05,0.00040244811680167913,1.0229218787571881e-05,0.0,15,0.0003753138880711049,0.00014143313455861062,0.0002238658198621124,1.0014940016844776e-05,0.0,16,0.0006486970814876258,0.0004774998524226248,0.00016226552543230355,8.931684533308726e-06,0.0,14,0.000509869190864265,0.00023452793539036065,0.00026535996585153043,9.9812486951123e-06,0.0,17,0.00072461151285097,0.00043015845585614443,0.00028391549130901694,1.0537546586419921e-05,0.0,19,0.0002605900323639313,0.00027247371811730164,9.95500431599794e-06,0.0,16.333333333333332
31,1550,0.0004932658630423248,0.00019333307864144444,0.00028977441252209246,1.0158380064240191e-05,0.0,17,0.00047970793093554676,7.079997885739431e-05,0.00039853694033809006,1.037100901157828e-05,0.0,15,0.00034770541242323816,0.0001225273299496621,0.00021506096527446061,1.0117095371242613e-05,0.0,16,0.0006339320098049939,0.0004665302694775164,0.00015843001892790198,8.971719580586068e-06,0.0,14,0.0005049188621342182,0.00023186439648270607,0.0002629705413710326,1.0083919733006041e-05,0.0,17,0.0007191291078925133,0.0004293359233997762,0.0002792121667880565,1.058099587680772e-05,0.0,18,0.0002523984961347499,0.00026733084087027237,1.0047186606243486e-05,0.0,16.166666666666664
32,1600,0.00048756037722341716,0.00019490333215799183,0.00028237939113751054,1.0277635738020763e-05,0.0,17,0.0004886904498562217,8.32759978948161e-05,0.00039491764619015157,1.0496806680748705e-05,0.0,15,0.00034429950756020844,0.00012695528857875615,0.0002071293565677479,1.0214868780167308e-05,0.0,16,0.0006307433359324932,0.0004661183338612318,0.00015562080079689622,9.004184903460555e-06,0.0,14,0.0004931689472869039,0.00022291588538791984,0.0002600682491902262,1.0184825441683643e-05,0.0,17,0.0007106406847015023,0.00042622463661246,0.0002738038310781121,1.0612214282446075e-05,0.0,18,0.00025339891241552925,0.0002623198791601074,1.0131755971087841e-05,0.0,16.166666666666664
33,1650,0.00048437793157063425,0.00019722346041817218,0.00027677195612341166,1.0382531399955042e-05,0.0,17,0.00047270473442040384,6.864632450742647e-05,0.0003934502601623535,1.0608132470224518e-05,0.0,15,0.00033883764990605414,0.00012832815991714597,0.00020019995281472802,1.0309536264685448e-05,0.0,16,0.0006209376151673496,0.0004592539626173675,0.0001526530977571383,9.0305757112219e-06,0.0,14,0.00048256193986162543,0.00021473097149282694,0.0002575505350250751,1.0280446986143943e-05,0.0,17,0.0007071135332807899,0.00042699879850260913,0.00026947655715048313,1.0638140338414814e-05,0.0,18,0.00024919694624259137,0.00025835039317219827,1.0208227195107611e-05,0.0,16.166666666666664
34,1700,0.0004843549686484039,0.00020322615455370396,0.0002706495579332113,1.047924979502568e-05,0.0,17,0.00046723513514734805,6.725724233547226e-05,0.00038927083369344473,1.0707075489335693e-05,0.0,15,0.0003351897175889462,0.0001301648881053552,0.00019462578347884119,1.0399062375654466e-05,0.0,16,0.0006205777754075825,0.0004609332827385515,0.000150595442391932,9.048996616911609e-06,0.0,14,0.00047850044211372733,0.00021303056564647704,0.0002550973149482161,1.0372536053182557e-05,0.0,17,0.0007076119654811919,0.0004312236269470304,0.0002657290024217218,1.0659359759301879e-05,0.0,18,0.0002509726267210984,0.0002543279891445612,1.0277713348235313e-05,0.0,16.166666666666664
35,1750,0.0004919738275930285,0.00021521179587580264,0.0002661958569660783,1.0566193850536365e-05,0.0,17,0.0004675669188145548,7.029128755675629e-05,0.0003864831232931465,1.079250705515733e-05,0.0,15,0.00033296900801360607,0.00013361895980779082,0.00018886392354033887,1.0486105566087645e-05,0.0,16,0.0006088344962336123,0.0004521477676462382,0.00014762648788746446,9.060281627171207e-06,0.0,14,0.0004699236305896193,0.0002080278645735234,0.00025143465609289706,1.04610999187571e-05,0.0,17,0.0007008258253335953,0.00042875652434304357,0.0002613922406453639,1.0677044883777853e-05,0.0,18,0.0002513423666338591,0.00025033271473754815,1.0340538816914583e-05,0.0,16.166666666666664
36,1800,0.0004981776583008468,0.00022470549447461963,0.00026282144244760275,1.0650697731762193e-05,0.0,17,0.0004763950710184872,8.121816063066944e-05,0.0003842993755824864,1.0877523891394958e-05,0.0,15,0.0003281397803220898,0.0001348314544884488,0.00018273500609211624,1.0573338840913493e-05,0.0,15,0.0006036180420778692,0.00044967097346670926,0.0001448803232051432,9.06669538380811e-06,0.0,14,0.00046546157682314515,0.00020679929002653807,0.00024811452021822333,1.0547740203037392e-05,0.0,17,0.0007053679437376559,0.0004370282986201346,0.00025764855672605336,1.0691051102185156e-05,0.0,18,0.00025570894528451993,0.00024674987071193755,1.0401174525516883e-05,0.0,16.0
37,1850,0.0004975552437826991,0.00022698010434396565,0.00025983728119172156,1.0737838238128461e-05,0.0,17,0.00046520601608790457,7.382393232546747e-05,0.0003804081934504211,1.0973878488584887e-05,0.0,15,0.00032759373425506055,0.0001381153124384582,0.00017880226369015872,1.0676158126443624e-05,0.0,15,0.0005910908803343773,0.00043896178249269724,0.00014306159573607147,9.067469363799319e-06,0.0,14,0.0004626308218576014,0.000207392469746992,0.0002446075377520174,1.0630827091517858e-05,0.0,17,0.0006914116092957556,0.0004265221068635583,0.000254187238169834,1.0702238796511665e-05,0.0,18,0.0002519659513685231,0.00024348401833170402,1.0464735017497635e-05,0.0,16.0
38,1900,0.000470714527182281,0.00020330380357336253,0.00025659537641331553,1.0815340829140041e-05,0.0,17,0.0004576553765218705,7.133965846151114e-05,0.0003752564371097833,1.1059280041081365e-05,0.0,15,0.0003264768165536225,0.0001413851568941027,0.00017432155436836183,1.0770118024083786e-05,0.0,15,0.0005861165118403733,0.00043618754716590047,0.00014086347073316574,9.06546938495012e-06,0.0,14,0.0004564940754789859,0.000204908981686458,0.00024087530618999153,1.0709775779105257e-05,0.0,17,0.0006893889512866735,0.00042773736640810966,0.0002509401529096067,1.0711438335420098e-05,0.0,18,0.00024747708569824073,0.00023980871628737077,1.0521903732296778e-05,0.0,16.0
39,1950,0.00047989649465307593,0.00021374034986365587,0.0002552694350015372,1.0886698873946443e-05,0.0,17,0.0004523764073383063,6.968512025196105e-05,0.00037155309109948575,1.1138178706460167e-05,0.0,15,0.00032578498939983547,0.00014272300177253783,0.00017220905283465981,1.0852945706574246e-05,0.0,15,0.0005793949239887297,0.0004319347208365798,0.00013840098108630627,9.059230251295958e-06,0.0,14,0.00044935953337699175,0.00020151605713181198,0.00023705398780293763,1.0789492080220953e-05,0.0,17,0.000690699671395123,0.0004323330649640411,0.00024764923728071153,1.0717387340264395e-05,0.0,18,0.00024865538580343127,0.0002370226308509397,1.057398882646036e-05,0.0,16.0
