,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
26,1301,0.00020592550572473556,0.00023387114924844354,7.4953427429136354e-06,0.0,14,0.00011884536797879264,0.00025714479852467775,9.39692745305365e-06,0.0,16,0.00035667928750626743,0.0003522610932122916,1.0154970368603244e-05,0.0,20,0.0005614766268990934,0.0002800572838168591,7.076588190102484e-06,0.0,12,0.00031073169702722225,0.000280833581200568,8.530957188668253e-06,0.0,15.5
27,1351,0.00020388852863106877,0.00023241426970344037,7.5346547419030685e-06,0.0,14,0.00011440807429607958,0.0002510172198526561,9.550941285851877e-06,0.0,16,0.0003694682673085481,0.00034410381340421736,1.025587880576495e-05,0.0,19,0.0005757480394095182,0.00027110837982036173,7.144349638110725e-06,0.0,12,0.00031587822741130367,0.0002746609206951689,8.621456117907655e-06,0.0,15.25
28,1401,0.00019165102276019752,0.0002261976624140516,7.5820094025402796e-06,0.0,13,0.00011128364712931216,0.0002438222581986338,9.702179340820294e-06,0.0,16,0.0003705957205966115,0.0003331878688186407,1.0366767128289212e-05,0.0,19,0.0005912408814765513,0.0002626446366775781,7.2087541411747225e-06,0.0,12,0.0003161928179906681,0.00026646310652722605,8.714927503206127e-06,0.0,15.0
29,1451,0.0001975347549887374,0.0002230818208772689,7.622938028362114e-06,0.0,13,0.00011171089136041701,0.00023758935276418924,9.848719855654053e-06,0.0,16,0.0003472237440291792,0.0003290375170763582,1.0447532076796051e-05,0.0,19,0.0005939502734690905,0.00025103893131017685,7.26486905477941e-06,0.0,11,0.000312604915961856,0.0002601869055069983,8.796014753897907e-06,0.0,14.75
30,1501,0.00019476505985949188,0.00022143554815556854,7.657615242351312e-06,0.0,13,0.00011997034016530961,0.000230213045142591,9.993834282795433e-06,0.0,16,0.00034870169474743307,0.0003197495243512094,1.0511489563214127e-05,0.0,19,0.0006177886971272528,0.0002449073945172131,7.31088903194177e-06,0.0,11,0.00032030644797487184,0.0002540763780416455,8.86845703007566e-06,0.0,14.75
31,1551,0.00018302797980140895,0.0002198814763687551,7.691600330872461e-06,0.0,13,0.0001221778366016224,0.00022476397862192243,1.0132487659575418e-05,0.0,16,0.0003351177438162267,0.000316914840368554,1.0563643627392594e-05,0.0,19,0.0006385813467204571,0.0002389653818681836,7.363334589172155e-06,0.0,11,0.0003197262267349288,0.0002501314193068538,8.937766551753157e-06,0.0,14.75
32,1601,0.00017768997349776328,0.00021455173555295914,7.718786946497858e-06,0.0,13,0.00010388328519184142,0.00021818680397700518,1.0263406693411525e-05,0.0,16,0.0003331732004880905,0.0003116611042059958,1.060445993061876e-05,0.0,19,0.0006522390758618712,0.00023423484526574612,7.417711003654404e-06,0.0,11,0.0003167463837598916,0.00024465862225042656,9.001091143545636e-06,0.0,14.75
33,1651,0.00017872184980660677,0.00021032652875874192,7.74535055825254e-06,0.0,13,0.0001251529174624011,0.00021221990755293518,1.0390633178758435e-05,0.0,16,0.0003428734780754894,0.0003028601058758795,1.0636415026965551e-05,0.0,19,0.0007024530204944313,0.00022987002739682794,7.466053830285091e-06,0.0,11,0.00033730031645973213,0.00023881914239609614,9.059613148565404e-06,0.0,14.75
34,1701,0.00016732099174987525,0.00020766269881278276,7.767438546579797e-06,0.0,13,0.00010009659308707342,0.00020695151761174202,1.0515033864066936e-05,0.0,16,0.0003247561980970204,0.00029915006598457694,1.066103777702665e-05,0.0,19,0.0007049389532767236,0.00022515167074743658,7.514964181609685e-06,0.0,11,0.00032427818405267317,0.00023472898828913458,9.114618592320767e-06,0.0,14.75
35,1751,0.00017071120964828879,0.00020686708739958704,7.786868991388474e-06,0.0,13,0.0001166550355264917,0.00020369705453049392,1.0633238161972258e-05,0.0,16,0.0003244637919124216,0.00029662379529327154,1.067795619746903e-05,0.0,19,0.0007788019138388336,0.00022310542408376932,7.561400252598105e-06,0.0,11,0.0003476579877315089,0.00023257334032678045,9.164865900856967e-06,0.0,14.75
36,1801,0.0002025082503678277,0.00020544257131405175,7.802787877153605e-06,0.0,13,9.634264279156923e-05,0.00019871698168572038,1.0745802683231886e-05,0.0,16,0.0003243453975301236,0.0002886633446905762,1.0692358046071604e-05,0.0,19,0.000804356241133064,0.00022076799359638244,7.6076994446339086e-06,0.0,11,0.00035688813295564614,0.0002283977228216827,9.212162012772751e-06,0.0,14.75
37,1851,0.00016224992577917874,0.0001998356165131554,7.814684067852795e-06,0.0,13,0.00010511143045732751,0.00019477280147839338,1.085047006199602e-05,0.0,16,0.00031947827665135264,0.0002827348653227091,1.0701133760449011e-05,0.0,19,0.0008296406595036387,0.0002202106115873903,7.649850886082277e-06,0.0,11,0.0003541200730978744,0.00022438847372541204,9.254034694095026e-06,0.0,14.75
38,1901,0.0001611246116226539,0.0001981767127290368,7.830735739844386e-06,0.0,13,9.970348764909431e-05,0.00019175901252310723,1.0951284821203444e-05,0.0,16,0.00031726493034511805,0.0002809444267768413,1.0707763976824936e-05,0.0,19,0.0008740061311982572,0.00022054855071473867,7.69287726143375e-06,0.0,11,0.00036302479020378087,0.000222857175685931,9.295665449826629e-06,0.0,14.75
39,1951,0.0001547341380501166,0.00019570483709685504,7.839794307074044e-06,0.0,13,9.764445712789893e-05,0.00018860276031773537,1.1040831850550603e-05,0.0,16,0.00031595706241205335,0.0002774849708657712,1.071160841092933e-05,0.0,19,0.0009418493136763573,0.00022278791584540159,7.732929589110427e-06,0.0,11,0.00037754624281660654,0.0002211451210314408,9.3312910394161e-06,0.0,14.75
40,2001,0.00016255619993899018,0.00019447688828222454,7.847690540074836e-06,0.0,13,8.890249591786414e-05,0.00018665370589587837,1.1124511729576625e-05,0.0,16,0.00032407892285846174,0.00026993604842573404,1.071379392669769e-05,0.0,19,0.000988769461400807,0.00022430528770200908,7.771553100610618e-06,0.0,11,0.00039107677002903074,0.0002188429825764615,9.364387324239942e-06,0.0,14.75
41,2051,0.00016064677038230002,0.00019663413695525378,7.852513590478338e-06,0.0,13,8.924124267650768e-05,0.00018303994147572666,1.120255546993576e-05,0.0,16,0.0003167096874676645,0.00026936802896670997,1.0713966730691027e-05,0.0,19,0.0010107472771778703,0.000224628223804757,7.810415809217375e-06,0.0,11,0.0003943362444260856,0.00021841758280061185,9.394862900080625e-06,0.0,14.75
42,2101,0.00015064387116581202,0.00019242028065491468,7.85696192906471e-06,0.0,13,8.999818965094164e-05,0.0001806898508220911,1.1272562005615328e-05,0.0,16,0.0003138603060506284,0.00026330287801101804,1.071486076398287e-05,0.0,19,0.0010384812485426664,0.0002275654551340267,7.846833796065766e-06,0.0,11,0.00039824590385251213,0.00021599461615551263,9.422804623682168e-06,0.0,14.75
43,2151,0.000152331092976965,0.000190476217539981,7.859041033952963e-06,0.0,13,9.292076720157638e-05,0.00017970016051549464,1.1333507245581131e-05,0.0,16,0.0003167332906741649,0.0002763593220151961,1.0715074495237786e-05,0.0,18,0.0010555119952186942,0.0002280447952216491,7.88135002949275e-06,0.0,11,0.0004043742865178501,0.0002186451238230802,9.447243201066158e-06,0.0,14.5
44,2201,0.00015682904631830752,0.00018953447579406202,7.860151526983827e-06,0.0,13,8.721046469872817e-05,0.00017708842642605305,1.1389813153073192e-05,0.0,16,0.0003085980424657464,0.0002597364946268499,1.0719422789406963e-05,0.0,18,0.0010779669973999262,0.0002269266260555014,7.916559297882486e-06,0.0,11,0.00040765113772067707,0.0002133215057256166,9.471486691836617e-06,0.0,14.5
45,2251,0.00015161886403802782,0.00018760231614578515,7.860412551963236e-06,0.0,13,7.739482680335641e-05,0.00017728170496411622,1.1440903108450584e-05,0.0,16,0.0003052971151191741,0.00025673190248198807,1.0724562343966682e-05,0.0,18,0.0010993576142936945,0.0002300188789376989,7.949199243739713e-06,0.0,11,0.0004084171050635632,0.00021290870063239709,9.493769312030054e-06,0.0,14.5
46,2301,0.0001927475823322311,0.00018575745343696326,7.862109669076744e-06,0.0,13,7.983330579008907e-05,0.0001734302641125396,1.1484762580948882e-05,0.0,16,0.0003025904588866979,0.00025420976453460753,1.0725697393354494e-05,0.0,18,0.0010493219597265124,0.0002270449767820537,7.981856469996274e-06,0.0,11,0.0004061233266838826,0.00021011061471654102,9.513606528344098e-06,0.0,14.5
47,2351,0.00016724148008506745,0.00018409936456009746,7.86118926043855e-06,0.0,13,8.403612446272746e-05,0.00017152314831037074,1.1524614819791168e-05,0.0,16,0.00030399998649954796,0.00025103113148361444,1.073251314664958e-05,0.0,18,0.0010731439106166363,0.00022567709675058722,8.014678314793855e-06,0.0,11,0.0004071053754159948,0.00020808268527616747,9.533248885418288e-06,0.0,14.5
48,2401,0.00015775299107190222,0.00018229277338832617,7.860719051677734e-06,0.0,13,7.450261182384565e-05,0.00016999845684040338,1.1558122423593886e-05,0.0,16,0.00030815647915005684,0.0002505436132196337,1.073912517313147e-05,0.0,18,0.0011125364108011127,0.00022835403797216713,8.04826595413033e-06,0.0,11,0.00041323712321172934,0.0002077972203551326,9.551558150633355e-06,0.0,14.5
49,2451,0.0001618020614841953,0.00018087563512381166,7.859098332119174e-06,0.0,13,7.984718831721693e-05,0.00016791524831205606,1.1588334928092081e-05,0.0,16,0.0003103927883785218,0.0002459409006405622,1.0749259672593325e-05,0.0,18,0.001040556700900197,0.00022349483333528042,8.078324754023924e-06,0.0,11,0.00039814968477003276,0.00020455665435292758,9.568754421707126e-06,0.0,14.5
50,2501,0.00016292152577079833,0.00017978163668885827,7.859608558646869e-06,0.0,13,6.953397678444162e-05,0.00016662025882396847,1.1612402886385098e-05,0.0,16,0.0003004944883286953,0.00024461327120661736,1.0762364581751171e-05,0.0,18,0.001058940659277141,0.0002241723268525675,8.109876034723129e-06,0.0,11,0.0003979726625402691,0.0002037968733930029,9.586063015376567e-06,0.0,14.5
51,2551,0.00017130874039139599,0.0001784439809853211,7.857220225560013e-06,0.0,13,7.427752279909328e-05,0.00016334405518136919,1.1634308975772001e-05,0.0,16,0.00029592346982099116,0.0002432385372230783,1.0772409950732253e-05,0.0,18,0.0010420407634228468,0.00022325958707369864,8.141495527524967e-06,0.0,11,0.0003958876241085818,0.0002020715401158668,9.601358669897309e-06,0.0,14.5
52,2601,0.0001609784667380154,0.0001766709319781512,7.855872354411986e-06,0.0,13,6.917748396517709e-05,0.00016079869237728417,1.1651900422293693e-05,0.0,16,0.00029754775459878147,0.00023976237571332604,1.0781260243675206e-05,0.0,18,0.0010529056889936328,0.00022334592358674854,8.172093657776713e-06,0.0,11,0.0003951523485739017,0.0002001444809138775,9.6152816695394e-06,0.0,14.5
53,2651,0.0001657802058616653,0.0001757937716320157,7.853584975237027e-06,0.0,13,7.223610737128183e-05,0.00015854772937018424,1.166352831205586e-05,0.0,16,0.00029562762938439846,0.00023863765818532556,1.0792444300022908e-05,0.0,18,0.0010233373614028096,0.00022037791495677084,8.204569894587621e-06,0.0,11,0.0003892453260050388,0.0001983392685360741,9.628531870475854e-06,0.0,14.5
